29,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC(C)=C(C4=NC(C(NC5(CC5)C#N)=O)CO4)C=C3)=NO2)=C1,,,67,,0,,,,,0,,,
30,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC(C)=C(C4=NC(C(N5N=CN=N5)=O)CO4)C=C3)=NO2)=C1,,,0,,0,,,,,0,,,
31,ClC1=CC(Cl)=CC(C2(CC(C3=CN=C(C(NC4(CC4)C#N)=O)C(C)=C3)=NO2)C(F)(F)F)=C1,,,,,,,,,,1,0.114,,补充
32,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCC#N)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,1.808,,
33,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(N(C)CC#N)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,1.512,,
34,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(N(C4CC4)CC#N)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.265,,
35,ClC1=CC(Cl)=CC(C2(CC(C3=CN=C(C(NC4CC4)=O)C(C)=C3)=NO2)C(F)(F)F)=C1,,,,,,,,,,1,0.505,,
36,ClC1=CC(Cl)=CC(C2(CC(C3=CN=C(C(N(C)C4CC4)=O)C(C)=C3)=NO2)C(F)(F)F)=C1,,,,,,,,,,1,0.272,,
37,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCCC)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.232,,
38,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NC4CCCC4)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.483,,
39,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NC4=CC=CC=C4)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.998,,
40,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NC)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.217,,
41,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCC)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.078,,
